business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,hours
DTuAFwqf2lknagHDT4pUMA,Romano's Pizza,104 W Moreland Ave,Hatboro,PA,19040,40.1789324,-75.1088765,4.0,5,0,,"Cheesesteaks, Chicken Wings, Pizza, Restaurants, Italian","{'Monday': '10:30-22:0', 'Tuesday': '10:30-22:0', 'Wednesday': '10:30-22:0', 'Thursday': '10:30-22:0', 'Friday': '10:30-22:0', 'Saturday': '10:30-22:0'}"
pe01uqQsa6raj-4HWRjgGg,Independence Brew Pub,1150 Filbert St,Philadelphia,PA,19107,39.952616,-75.159445,4.5,5,0,"{'RestaurantsDelivery': 'False', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsGoodForGroups': 'True', 'GoodForKids': 'True', 'BYOBCorkage': ""'no'"", 'RestaurantsAttire': ""'casual'"", 'RestaurantsReservations': 'True', 'OutdoorSeating': 'False', 'RestaurantsPriceRange2': '2', 'RestaurantsTakeOut': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'HappyHour': 'True'}","Food, Restaurants, Breweries, Bars, Nightlife",
VhQg78uOp7voj1wkONDvPg,Ziggy's Bar & Grill,824 Edwards Dr,Plainfield,IN,46168,39.6960537,-86.3699629,3.5,5,0,"{'RestaurantsGoodForGroups': 'True', 'CoatCheck': 'False', 'GoodForKids': 'False', 'RestaurantsAttire': ""'casual'"", 'Caters': 'False', 'HappyHour': 'True', 'RestaurantsPriceRange2': '2', 'Smoking': ""u'outdoor'"", 'RestaurantsReservations': 'True', 'DogsAllowed': 'False', 'GoodForDancing': 'False', 'BusinessAcceptsCreditCards': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'RestaurantsDelivery': 'False', 'Alcohol': ""u'full_bar'"", 'BikeParking': 'False', 'OutdoorSeating': 'True', 'RestaurantsTableService': 'True', 'WheelchairAccessible': 'True', 'WiFi': ""u'free'"", 'RestaurantsTakeOut': 'True', 'HasTV': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'Music': ""{'dj': True}"", 'NoiseLevel': ""'very_loud'""}","Sports Bars, Restaurants, Bars, Beer, Wine & Spirits, American (Traditional), Nightlife, Food","{'Monday': '11:0-3:0', 'Tuesday': '11:0-3:0', 'Wednesday': '11:0-3:0', 'Thursday': '11:0-3:0', 'Friday': '11:0-3:0', 'Saturday': '11:0-3:0', 'Sunday': '11:0-3:0'}"
FxmQQutiIzlH40hUQmfEVA,The Angry Chef's Corner Kitchen,190 Center St,Sewell,NJ,08080,39.7664604,-75.1439517,4.0,5,0,"{'GoodForKids': 'True', 'RestaurantsPriceRange2': '1', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsAttire': ""'casual'"", 'NoiseLevel': ""'average'"", 'RestaurantsTableService': 'False', 'RestaurantsDelivery': 'False', 'BikeParking': 'True', 'RestaurantsReservations': 'False', 'Alcohol': ""u'none'"", 'HasTV': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsGoodForGroups': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'WheelchairAccessible': 'True', 'OutdoorSeating': 'False', 'BusinessAcceptsCreditCards': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'WiFi': ""u'paid'"", 'Caters': 'True'}","Delis, Chicken Wings, Cheesesteaks, Restaurants","{'Monday': '9:30-19:0', 'Tuesday': '9:30-19:0', 'Wednesday': '9:30-19:0', 'Thursday': '9:30-19:0', 'Friday': '9:30-20:0', 'Saturday': '9:30-20:0', 'Sunday': '9:30-17:0'}"
ggJXlslLYndvE7n3hgJBCQ,Capital One 360 Café,802 Delaware Ave,Wilmington,DE,19801,39.7496704,-75.5546354,4.0,5,0,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'True', 'OutdoorSeating': 'False', 'WiFi': ""'free'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '1'}","Financial Services, Food, Restaurants, Cafes, Banks & Credit Unions, Coffee & Tea","{'Monday': '7:0-16:0', 'Tuesday': '7:0-16:0', 'Wednesday': '7:0-16:0', 'Thursday': '7:0-16:0', 'Friday': '7:0-16:0'}"
NJt2qvQ9NvB7uCxYUnW-dQ,McAnderson's House of Brews,"300 State St E, Ste 107",Oldsmar,FL,34677,28.0354421,-82.6597432,4.0,5,0,"{'RestaurantsAttire': ""u'casual'"", 'BusinessAcceptsCreditCards': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'HappyHour': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '1', 'OutdoorSeating': 'False'}","Restaurants, Gastropubs","{'Monday': '16:0-0:0', 'Tuesday': '16:0-1:0', 'Wednesday': '16:0-1:0', 'Thursday': '16:0-1:0', 'Friday': '16:0-2:0', 'Saturday': '12:0-2:0', 'Sunday': '12:0-0:0'}"
g18Wy2StxSnriHOoauq9Xw,The Pizza Pasta House,104 Moreland Rd,Hatboro,PA,19040,40.178969,-75.108893,2.5,5,0,"{'RestaurantsReservations': 'False', 'RestaurantsDelivery': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsAttire': ""'casual'"", 'RestaurantsTakeOut': 'True', 'GoodForKids': 'True'}","Italian, Restaurants, Pizza","{'Monday': '10:0-22:0', 'Tuesday': '10:0-22:0', 'Wednesday': '10:0-22:0', 'Thursday': '10:0-22:0', 'Friday': '10:0-23:0', 'Saturday': '10:0-23:0', 'Sunday': '11:0-21:0'}"
Ma1-ObBgnDiC1IHS3xZ-hw,Dairy Queen,55 S Delmorr Ave,Morrisville,PA,19067,40.2089477553,-74.7723143,4.5,5,1,"{'RestaurantsReservations': 'False', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsGoodForGroups': 'True', 'Alcohol': ""u'none'"", 'RestaurantsTakeOut': 'True', 'Caters': 'True', 'RestaurantsAttire': ""u'casual'"", 'BikeParking': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'RestaurantsPriceRange2': '1', 'RestaurantsDelivery': 'True', 'DriveThru': 'True', 'HasTV': 'True', 'NoiseLevel': ""u'average'"", 'OutdoorSeating': 'True', 'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}""}","Burgers, Food, Ice Cream & Frozen Yogurt, Restaurants, Fast Food","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '11:0-21:0'}"
fXsdsGnTntaRWbfUxP3wXw,Taco Bell,8021 Citrus Park Town Ctr,Tampa,FL,33625,28.068941,-82.5737,3.0,5,0,{'RestaurantsPriceRange2': '1'},"Fast Food, Restaurants, Tex-Mex, Mexican","{'Monday': '10:0-21:0', 'Tuesday': '10:0-21:0', 'Wednesday': '10:0-21:0', 'Thursday': '10:0-21:0', 'Friday': '10:0-21:0', 'Saturday': '10:0-21:0', 'Sunday': '11:0-17:0'}"
dv4tx5H0-aPiIXSM2hJNhA,Hooters,435 W Dekalb Pike,King of Prussia,PA,19406,40.090495,-75.3740399,3.5,5,0,"{'RestaurantsPriceRange2': '2', 'OutdoorSeating': 'False', 'RestaurantsGoodForGroups': 'True', 'GoodForKids': 'False', 'RestaurantsAttire': ""'casual'"", 'Alcohol': ""'full_bar'"", 'BusinessAcceptsCreditCards': 'True', 'BYOBCorkage': ""'no'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}""}","Food, Restaurants, Beer, Wine & Spirits, Bars, Nightlife, American (Traditional)",
